course_id,course_title,benchmark_split,query,expected_prerequisite_ids,expected_prerequisite_titles,source_file,source_url,source_accessible,query_scope_valid,expected_set_status,corrected_prerequisite_ids,reviewer_confidence,reviewer_notes,reviewer_id,review_date
004065,Programming 1,development,Which course IDs are listed in the prerequisite section for 004065?,054079|056557,COSC2801 Programming Bootcamp 1 (Course ID 054079)|COSC3103 Python Programming Bootcamp (Course ID 056557),output/Study Type/Courses/004065_004065 - Programming 1.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=004065,,,,,,,,
004068,Advanced Programming Techniques,development,Which course IDs are listed in the prerequisite section for 004068?,004065|038974|054079|054074,COSC2362 Programming 1 (Course ID 004065)|COSC2395 Programming 1 (Course ID 038974)|COSC2801 Programming Bootcamp 1 (Course ID 054079)|COSC2799 IT Studio 1 (Course ID 054074),output/Study Type/Courses/004068_004068 - Advanced Programming Techniques.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=004068,,,,,,,,
004083,Database Concepts,development,Which course IDs are listed in the prerequisite section for 004083?,,,output/Study Type/Courses/004083_004083 - Database Concepts.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=004083,,,,,,,,
004123,Artificial Intelligence,development,Which course IDs are listed in the prerequisite section for 004123?,004302,Algorithms and Analysis,output/Study Type/Courses/004123_004123 - Artificial Intelligence.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=004123,,,,,,,,
004302,Algorithms and Analysis,development,Which course IDs are listed in the prerequisite section for 004302?,014052|054080|004068|054075|038296|053543|054137,Further Programming|Programming Bootcamp 2|Advanced Programming Techniques|IT Studio 2|Software Engineering Design|Engineering Mathematics|Advanced Programming for Data Science,output/Study Type/Courses/004302_004302 - Algorithms and Analysis.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=004302,,,,,,,,
004316,Advanced Programming,test,Which course IDs are listed in the prerequisite section for 004316?,045682,COSC2531 Programming Fundamentals (Course ID 045682),output/Study Type/Courses/004316_004316 - Advanced Programming.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=004316,,,,,,,,
012010,Regression Analysis,development,Which course IDs are listed in the prerequisite section for 012010?,012021,MATH1324 Introduction to Statistics (Course ID 012021),output/Study Type/Courses/012010_012010 - Regression Analysis.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=012010,,,,,,,,
012021,Applied Analytics,calibration,Which course IDs are listed in the prerequisite section for 012021?,052731,MATH2405/MATH2349 Data Wrangling (Course ID 052731),output/Study Type/Courses/012021_012021 - Applied Analytics.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=012021,,,,,,,,
014052,Further Programming,development,Which course IDs are listed in the prerequisite section for 014052?,004065|038296|054081|054079,Programming 1|Software Engineering Design|Java Programming Studio|Java Programming Bootcamp,output/Study Type/Courses/014052_014052 - Further Programming.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=014052,,,,,,,,
031749,Computing Research and Project Preparation,development,Which course IDs are listed in the prerequisite section for 031749?,,,output/Study Type/Courses/031749_031749 - Computing Research and Project Preparation.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=031749,,,,,,,,
032113,Minor Thesis/Project,test,Which course IDs are listed in the prerequisite section for 032113?,031749,COSC2149/COSC2991 Research Methods (Course ID 031749),output/Study Type/Courses/032113_032113 - Minor ThesisProject.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=032113,,,,,,,,
038292,Engineering Computing 1,development,Which course IDs are listed in the prerequisite section for 038292?,,,output/Study Type/Courses/038292_038292 - Engineering Computing 1.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=038292,,,,,,,,
038296,Software Engineering Design,development,Which course IDs are listed in the prerequisite section for 038296?,038292,Unknown Course,output/Study Type/Courses/038296_038296 - Software Engineering Design.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=038296,,,,,,,,
038974,Programming A,development,Which course IDs are listed in the prerequisite section for 038974?,,,output/Study Type/Courses/038974_038974 - Programming A.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=038974,,,,,,,,
